step:100 smpl:2K ep:10 epch:0.16 loss:1089.237 grdn:745.354 lr:1.3e-05 updt_s:0.422 data_s:0.068 smp/s:49 mem_gb:6.28 losses_after_forward:1088.680 losses_after_in_ep_bound:983.146 losses_after_rm_padding:983.146
step:8K smpl:202K ep:809 epch:13.48 loss:0.025 grdn:5.705 lr:2.3e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.030 losses_after_in_ep_bound:0.022 losses_after_rm_padding:0.022
step:8K smpl:204K ep:819 epch:13.64 loss:0.025 grdn:5.198 lr:2.2e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.032 losses_after_in_ep_bound:0.023 losses_after_rm_padding:0.023
step:9K smpl:206K ep:828 epch:13.80 loss:0.026 grdn:6.178 lr:2.1e-05 updt_s:0.459 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.032 losses_after_in_ep_bound:0.023 losses_after_rm_padding:0.023
step:9K smpl:209K ep:838 epch:13.96 loss:0.025 grdn:6.048 lr:2.0e-05 updt_s:0.459 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.032 losses_after_in_ep_bound:0.022 losses_after_rm_padding:0.022
step:9K smpl:211K ep:847 epch:14.12 loss:0.027 grdn:6.933 lr:1.9e-05 updt_s:0.454 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.033 losses_after_in_ep_bound:0.024 losses_after_rm_padding:0.024
step:9K smpl:214K ep:857 epch:14.28 loss:0.025 grdn:5.426 lr:1.8e-05 updt_s:0.459 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.032 losses_after_in_ep_bound:0.022 losses_after_rm_padding:0.022
step:9K smpl:216K ep:867 epch:14.44 loss:0.022 grdn:5.098 lr:1.7e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.028 losses_after_in_ep_bound:0.020 losses_after_rm_padding:0.020
step:9K smpl:218K ep:876 epch:14.60 loss:0.024 grdn:5.261 lr:1.6e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.030 losses_after_in_ep_bound:0.021 losses_after_rm_padding:0.021
step:9K smpl:221K ep:886 epch:14.77 loss:0.023 grdn:5.920 lr:1.5e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.030 losses_after_in_ep_bound:0.020 losses_after_rm_padding:0.020
step:9K smpl:223K ep:896 epch:14.93 loss:0.023 grdn:5.515 lr:1.5e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.021 losses_after_rm_padding:0.021
